City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
291,Basco,US,2020-01-02 19:33:43,40.33,-91.2,53.6,70,1,9.17
292,Iskateley,RU,2020-01-02 19:33:43,67.68,53.15,10.06,94,100,18.86
293,Taoudenni,ML,2020-01-02 19:33:20,22.68,-3.98,57.43,23,100,11.83
294,Taltal,CL,2020-01-02 19:33:44,-25.41,-70.49,66.06,69,100,7.74
295,Saint-Francois,FR,2020-01-02 19:33:44,46.42,3.91,37.4,100,99,3.0
296,Terney,RU,2020-01-02 19:33:44,45.05,136.61,2.16,79,0,7.05
297,Stryn,NO,2020-01-02 19:33:44,61.9,6.72,44.6,81,75,8.05
298,Itarantim,BR,2020-01-02 19:33:45,-15.65,-40.06,74.17,92,100,5.03
299,Dvinskoy,RU,2020-01-02 19:33:45,62.16,45.12,34.23,97,100,9.71
300,Cianorte,BR,2020-01-02 19:33:45,-23.66,-52.61,80.6,74,40,11.41
301,Pangnirtung,CA,2020-01-02 19:32:29,66.15,-65.72,6.8,77,90,4.7
